Date,Open,High,Low,Close,Volume,Award Amount,Company Name,Delta % Close - Open,Delta % High - Low
2024-07-23,28.34,29.19,28.31,28.81,31134262.0,0,PALANTIR TECHNOLOGIES INC.,1.6584333098094526,3.1084422465559967
2024-07-22,28.93,28.97,27.69,28.46,38037812.0,0,PALANTIR TECHNOLOGIES INC.,-1.6246111303145485,4.6226074395088395
2024-07-19,28.31,29.6,28.27,28.58,49581636.0,0,PALANTIR TECHNOLOGIES INC.,0.953726598375131,4.704633887513272
2024-07-18,28.42,29.83,28.15,28.64,76485561.0,0,PALANTIR TECHNOLOGIES INC.,0.7741027445460903,5.968028419182947
2024-07-17,28.0,28.87,27.6,28.22,45203461.0,0,PALANTIR TECHNOLOGIES INC.,0.7857142857142816,4.601449275362317
2024-07-16,28.18,28.84,27.47,28.67,59330683.0,0,PALANTIR TECHNOLOGIES INC.,1.738821859474812,4.987258827812163
2024-07-15,28.42,29.3,27.9,28.67,49186345.0,0,PALANTIR TECHNOLOGIES INC.,0.8796622097114707,5.017921146953412
2024-07-12,27.32,28.13,27.28,28.07,30760268.0,0,PALANTIR TECHNOLOGIES INC.,2.745241581259151,3.1158357771260916
2024-07-11,28.49,28.59,26.9,27.64,61546057.0,0,PALANTIR TECHNOLOGIES INC.,-2.9835029835029765,6.282527881040897
2024-07-10,27.5,28.47,27.37,28.42,43231028.0,0,PALANTIR TECHNOLOGIES INC.,3.3454545454545515,4.018998903909382
2024-07-09,27.93,28.38,27.23,27.39,53226526.0,0,PALANTIR TECHNOLOGIES INC.,-1.9334049409237348,4.223283143591622
2024-07-08,27.93,27.986,26.84,27.7,59611163.0,0,PALANTIR TECHNOLOGIES INC.,-0.8234872896527048,4.26974664679583
2024-07-05,26.0,27.25,25.975,27.23,46703729.0,0,PALANTIR TECHNOLOGIES INC.,4.730769230769232,4.908565928777666
2024-07-03,25.96,26.27,25.76,25.85,18433843.0,0,PALANTIR TECHNOLOGIES INC.,-0.42372881355931985,1.9798136645962656
2024-07-02,25.84,26.43,25.75,25.83,32148242.0,0,PALANTIR TECHNOLOGIES INC.,-0.038699690402482834,2.640776699029125
2024-07-01,25.48,26.02,25.1421,25.88,33167921.0,0,PALANTIR TECHNOLOGIES INC.,1.5698587127158499,3.4917528766491275
2024-06-28,25.28,25.57,25.03,25.33,38886441.0,0,PALANTIR TECHNOLOGIES INC.,0.197784810126571,2.15741110667199
2024-06-27,24.1,25.4,24.05,25.22,37882859.0,0,PALANTIR TECHNOLOGIES INC.,4.647302904564304,5.613305613305605
2024-06-26,24.47,24.66,24.025,24.1,24331377.0,0,PALANTIR TECHNOLOGIES INC.,-1.5120555782590825,2.643080124869934
2024-06-25,24.16,24.63,23.9201,24.56,29657245.0,0,PALANTIR TECHNOLOGIES INC.,1.655629139072842,2.967796957370569
2024-06-24,23.44,24.3874,23.3,24.16,36477408.0,0,PALANTIR TECHNOLOGIES INC.,3.0716723549488005,4.6669527896995655
2024-06-21,24.71,26.09,23.53,23.84,69981578.0,0,PALANTIR TECHNOLOGIES INC.,-3.520841764467831,10.879728006799825
2024-06-20,26.44,26.57,25.155,25.56,66734955.0,0,PALANTIR TECHNOLOGIES INC.,-3.3282904689863937,5.625124229775389
2024-06-18,25.15,26.025,24.83,25.82,54458580.0,0,PALANTIR TECHNOLOGIES INC.,2.6640159045725715,4.812726540475233
2024-06-17,23.47,25.06,23.45,25.02,54101503.0,0,PALANTIR TECHNOLOGIES INC.,6.6041755432467015,6.865671641791042
2024-06-14,23.15,23.72,22.84,23.57,26618284.0,0,PALANTIR TECHNOLOGIES INC.,1.8142548596112387,3.852889667250434
2024-06-13,23.85,24.14,23.15,23.27,26035051.0,0,PALANTIR TECHNOLOGIES INC.,-2.431865828092251,4.276457883369339
2024-06-12,24.2,24.33,23.57,23.77,38542724.0,0,PALANTIR TECHNOLOGIES INC.,-1.7768595041322301,3.2244378447178534
2024-06-11,23.06,23.95,22.89,23.85,30601852.0,"$21,669,638",PALANTIR TECHNOLOGIES INC.,3.4258456201214345,4.63084316295325
2024-06-10,22.75,23.16,22.66,23.13,31509278.0,0,PALANTIR TECHNOLOGIES INC.,1.670329670329666,2.206531332744925
2024-06-07,23.24,23.57,23.06,23.31,37149877.0,0,PALANTIR TECHNOLOGIES INC.,0.3012048192771097,2.2116218560277607
2024-06-06,22.98,23.95,22.98,23.79,60400366.0,0,PALANTIR TECHNOLOGIES INC.,3.5248041775456866,4.221061792863354
2024-06-05,22.48,22.98,22.22,22.96,39825392.0,"$19,821,446",PALANTIR TECHNOLOGIES INC.,2.1352313167259807,3.4203420342034274
2024-06-04,21.05,22.26,21.04,22.1,41974047.0,0,PALANTIR TECHNOLOGIES INC.,4.988123515439433,5.798479087452483
2024-06-03,21.7,21.79,21.005,21.32,33876070.0,0,PALANTIR TECHNOLOGIES INC.,-1.7511520737327142,3.73720542727922
2024-05-31,21.79,22.2,21.31,21.68,44416074.0,0,PALANTIR TECHNOLOGIES INC.,-0.5048187241854036,4.176442984514315
2024-05-30,21.28,21.96,21.02,21.73,47583129.0,0,PALANTIR TECHNOLOGIES INC.,2.1146616541353347,4.47193149381542
2024-05-29,20.77,20.99,20.64,20.94,24834240.0,0,PALANTIR TECHNOLOGIES INC.,0.8184882041405956,1.6957364341085166
2024-05-28,21.06,21.22,20.73,21.05,26274188.0,0,PALANTIR TECHNOLOGIES INC.,-0.0474833808167047,2.3637240713941075
2024-05-24,20.72,21.15,20.65,21.01,22158712.0,0,PALANTIR TECHNOLOGIES INC.,1.3996138996139127,2.421307506053269
2024-05-23,21.39,21.5198,20.63,20.72,36887627.0,0,PALANTIR TECHNOLOGIES INC.,-3.132304815334276,4.313136209403786
2024-05-22,21.23,21.42,21.08,21.17,25212469.0,0,PALANTIR TECHNOLOGIES INC.,-0.2826189354686704,1.612903225806468
2024-05-21,21.34,21.45,21.12,21.24,27953962.0,0,PALANTIR TECHNOLOGIES INC.,-0.4686035613870732,1.5624999999999918
2024-05-20,21.77,21.77,21.22,21.62,35255258.0,0,PALANTIR TECHNOLOGIES INC.,-0.6890215893431262,2.5918944392082977
2024-05-17,21.78,22.1693,21.56,21.76,30032254.0,0,PALANTIR TECHNOLOGIES INC.,-0.09182736455463532,2.8260667903525096
2024-05-16,21.74,21.87,21.535,21.65,27416677.0,0,PALANTIR TECHNOLOGIES INC.,-0.41398344066237286,1.555607151149296
2024-05-15,21.73,21.8099,21.185,21.67,39424029.0,0,PALANTIR TECHNOLOGIES INC.,-0.27611596870685096,2.9497285815435466
